year,date,siteID,blockID,plotID,treatment,starttime,stoptime,time,PAR,soiltemp,vegHeight,nee,gpp,rsqd,chamber,removal,weather,flag,comment,turfID,soilmoisture,recorder,tempK,starttime_Reco,stoptime_Reco,time_Reco,PAR_Reco,soiltemp_Reco,vegHeight_Reco,Reco,rsqd_Reco,chamber_Reco,removal_Reco,weather_Reco,flag_Reco,comment_Reco,turfID_Reco,soilmoisture_Reco,recorder_Reco,tempK_Reco,delta
2017,2017-07-13,Veskre,Ves2,Ves2G,G,2017-07-13T11:37:03Z,2017-07-13T11:39:03Z,120,425.97520661157023,11.1,NA,-1.6018512270297145,-6.762692314235826,0.9744454541958495,2,post,Cloudy,NA,NA,NA,55.975,Overcast,292.70849999999996,2017-07-13T11:39:57Z,2017-07-13T11:41:57Z,120,2.299173553719008,11.1,NA,5.160841087206112,0.9939256282817988,2,post,Cloudy,NA,NA,NA,55.975,Overcast,291.7075,174
2015,2015-07-29,Veskre,Ves2,Ves2GB,GB,2015-07-29T09:40:00Z,2015-07-29T09:41:05Z,65,784.7642857142857,NA,0.03,-1.9142703129676866,-4.653213771201808,0.9277734461912995,1,pre,NA,pre,NA,NA,NA,NA,294.6234833333333,2015-07-29T09:42:00Z,2015-07-29T09:43:30Z,90,16.402157894736842,NA,0.03,2.7389434582341217,0.8891738775697796,1,pre,NA,pre,NA,NA,NA,NA,294.2560875,120
2015,2015-07-29,Veskre,Ves2,Ves2GB,GB,2015-07-29T13:38:00Z,2015-07-29T13:39:15Z,75,594.748125,NA,0.03,-8.529159656902241,-14.855540678561947,0.9907395394814426,1,pre,NA,pre,NA,NA,NA,NA,295.255,2015-07-29T13:40:00Z,2015-07-29T13:41:30Z,90,22.74021052631579,NA,0.03,6.3263810216597065,0.9525689960819941,1,pre,NA,pre,NA,NA,NA,NA,295.255,120
2017,2017-07-12,Veskre,Ves2,Ves2GB,GB,2017-07-12T13:18:50Z,2017-07-12T13:20:50Z,120,644.7272,13.6,NA,-2.596919496633559,-6.518314160823596,0.9616985826931248,1,post,Cloudy,NA,NA,NA,60.55,cloudy with rain; occasional sun,287.49649999999997,2017-07-12T13:21:25Z,2017-07-12T13:23:25Z,120,3.870012,13.6,NA,3.921394664190037,0.9114934939752509,1,post,Sunny,NA,NA,NA,60.55,cloudy with rain; occasional sun,287.246,155
2017,2017-07-12,Veskre,Ves2,Ves2GB,GB,2017-07-12T15:05:15Z,2017-07-12T15:06:30Z,75,487.215625,13.6,NA,1.5406530462613257,-4.149694148475016,0.9652926703326254,1,post,Cloudy,NA,NA,NA,60.55,cloudy with rain; occasional sun,292.0025,2017-07-12T15:07:00Z,2017-07-12T15:09:00Z,120,0.9673252,13.6,NA,5.690347194736341,0.9405841340897197,1,post,Cloudy,NA,NA,NA,60.55,cloudy with rain; occasional sun,292.253,105
2017,2017-07-13,Veskre,Ves2,Ves2GB,GB,2017-07-13T10:07:20Z,2017-07-13T10:09:20Z,120,331.6436,11.4,NA,0.23409019720062918,-1.9145652235908495,0.0881240047850236,1,post,Light,NA,NA,NA,57.775,Overcast,287.246,2017-07-13T10:09:50Z,2017-07-13T10:10:55Z,65,0.8082864285714286,11.4,NA,2.1486554207914788,0.9799866902517422,1,post,Light,NA,NA,NA,57.775,Overcast,287.246,150
2017,2017-07-13,Veskre,Ves2,Ves2GB,GB,2017-07-13T12:53:10Z,2017-07-13T12:54:15Z,65,522.6778571428572,11.4,NA,-2.2431573041244777,-6.070362075985904,0.9091649386414983,1,post,Cloudy,NA,NA,NA,57.775,Overcast,288.9985,2017-07-13T12:55:50Z,2017-07-13T12:57:50Z,120,1.65572,11.4,NA,3.8272047718614264,0.9150452420741388,1,post,Cloudy,NA,NA,NA,57.775,Overcast,288.84819999999996,160
2017,2017-07-12,Veskre,Ves2,Ves2GB,GB,2017-07-12T13:58:43Z,2017-07-12T14:00:33Z,110,286.34864864864863,13.6,NA,0.11194016225359313,-3.20839162536142,0.06513118048426267,2,post,Cloudy,NA,NA,NA,60.55,cloudy with rain; occasional sun,285.44649999999996,2017-07-12T14:02:31Z,2017-07-12T14:04:31Z,120,1.806611570247934,13.6,NA,3.320331787615013,0.9779867771525714,2,post,Cloudy,NA,NA,NA,60.55,cloudy with rain; occasional sun,285.44649999999996,228
2017,2017-07-13,Veskre,Ves2,Ves2GB,GB,2017-07-13T12:10:55Z,2017-07-13T12:12:55Z,120,548.3512396694215,11.4,NA,-1.794422359868122,-6.99691381593439,0.9606238967109507,2,post,Cloudy,NA,NA,NA,57.775,Overcast,290.70599999999996,2017-07-13T12:13:41Z,2017-07-13T12:15:41Z,119,2.5525,11.4,NA,5.2024914560662685,0.9799689083087492,2,post,Cloudy,NA,NA,NA,57.775,Overcast,290.4555,166
2015,2015-07-29,Veskre,Ves2,Ves2GF,GF,2015-07-29T10:05:30Z,2015-07-29T10:07:00Z,90,931.1463157894736,NA,0.03,-4.492073457009412,-10.525412959716315,0.985647370904913,1,pre,NA,pre,NA,NA,NA,NA,295.17974166666664,2015-07-29T10:07:30Z,2015-07-29T10:09:00Z,90,38.835578947368425,NA,0.03,6.033339502706903,0.9667505319203877,1,pre,NA,pre,NA,NA,NA,NA,296.30291666666665,120
