siteID,blockID,treatment,plotID,burial_length,elements,value,detection_limit,burial_date,retrieval_date,notes
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Mg,175.16,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,K,99.54,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,P,1.32,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Fe,1.69,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Mn,1.15,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Zn,1.3,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,B,0.35,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,S,20.86,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Al,13.61,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,NO3-N,8.12,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,NH4-N,8.18,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Ca,1370.06,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Mg,228.48,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,K,314.64,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,P,10.66,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Fe,1.91,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Mn,4.47,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Zn,2.31,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,S,24.7,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,C,Ulv3C,36,Al,8,0.4,2021-08-04,2021-09-09,NA
Lavisdalen,Lav1,FB,Lav1FB,36,NO3-N,4.88,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Ca,495.43,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Mg,127,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,K,42.59,4,2021-08-03,2021-09-08,NA
